UniProtKB,Gene_symbol,Endogenous_interactions_with_virus_targets,Endogenous_interactions_with_virus_targets(No.),Endogenous_interactions_with_spike_targets(Frequency),Endogenous_interactions_with_envelope_targets(Frequency),Endogenous_interactions_with_membrane_targets(Frequency),Endogenous_interactions_with_nucleocapsid_targets(Frequency),Endogenous_interactions_with_orf3a_targets(Frequency),Endogenous_interactions_with_orf6_targets(Frequency),Endogenous_interactions_with_orf7a_targets(Frequency),Endogenous_interactions_with_orf8_targets(Frequency),Endogenous_interactions_with_orf10_targets(Frequency),Endogenous_interactions_with_NSP1_targets(Frequency),Endogenous_interactions_with_NSP2_targets(Frequency),Endogenous_interactions_with_NSP3_targets(Frequency),Endogenous_interactions_with_NSP4_targets(Frequency),Endogenous_interactions_with_NSP5_targets(Frequency),Endogenous_interactions_with_NSP6_targets(Frequency),Endogenous_interactions_with_NSP7_targets(Frequency),Endogenous_interactions_with_NSP8_targets(Frequency),Endogenous_interactions_with_NSP9_targets(Frequency),Endogenous_interactions_with_NSP10_targets(Frequency),Endogenous_interactions_with_NSP11_targets(Frequency),Endogenous_interactions_with_NSP12_targets(Frequency),Endogenous_interactions_with_NSP13_targets(Frequency),Endogenous_interactions_with_NSP14_targets(Frequency),Endogenous_interactions_with_NSP15_targets(Frequency),Endogenous_interactions_with_NSP16_targets(Frequency)
Q14999,CUL7,M:ETFA;M:ATP6V1A;N:CSNK2B;N:RPL36;N:PABPC1;N:PABPC4;N:DDX21;N:RRP9;nsp13:CENPF;nsp13:GOLGB1;nsp13:CIT;nsp13:CEP250;nsp14:IMPDH2;nsp4:NUP210;nsp5:HDAC2;nsp7:RAB1A;nsp7:RAB5C;nsp7:RALA;nsp7:ACSL3;nsp7:RAB7A;nsp7:RAB14;nsp7:RAB10;nsp9:EIF4H;nsp9:NUP214;orf10:RBX1;orf6:NUP98;orf6:RAE1;orf7a:MDN1;orf8:TOR1A;orf8:HYOU1;orf8:ERP44;orf8:EMC1;orf8:PLD3;,33,0,0,0.067,0.4,0,0.667,0.5,0.106,0.111,0,0,N/A,0.125,1,0,0.219,0,0.125,0,N/A,0,0.1,0.333,0,N/A
P55072,VCP,M:BZW2;M:TUBGCP2;M:AAR2;N:G3BP2;N:CSNK2B;N:G3BP1;nsp10:AP2A2;nsp13:HSBP1;nsp13:PRKAR2A;nsp13:HOOK1;nsp13:TLE3;nsp13:USP13;nsp15:ARF6;nsp2:FKBP15;nsp2:GIGYF2;nsp7:RAB7A;nsp7:RAB10;nsp7:RAB14;nsp7:COMT;nsp7:SELENOS;nsp8:LARP7;nsp8:MEPCE;nsp9:NUP62;nsp9:NUP58;nsp9:NUP54;nsp9:DCAF7;orf10:PPT1;orf10:CUL2;orf7a:MDN1;orf8:ITGB1;orf8:NGLY1;orf8:OS9;,32,0,0,0.1,0.2,0,0,0.5,0.064,0.222,0,0.286,N/A,0,0,0,0.156,0.083,0.25,0.2,N/A,0,0.125,0,0.333,N/A
O94992,HEXIM1,E:CWC27;E:BRD4;N:MOV10;N:DDX21;N:CSNK2A2;N:CSNK2B;N:PABPC4;N:G3BP1;N:FAM98A;N:RPL36;N:PABPC1;nsp1:POLA2;nsp10:AP2M1;nsp10:AP2A2;nsp12:UBAP2L;nsp2:WASHC4;nsp5:HDAC2;nsp7:RAB1A;nsp7:RAB8A;nsp7:RAB10;nsp7:RAB14;nsp8:SRP19;nsp8:SRP72;nsp8:MRPS27;nsp8:MRPS5;nsp8:MRPS2;nsp8:SEPSECS;nsp8:LARP7;nsp8:MEPCE;orf10:ELOC;orf8:PUSL1;,31,0,0.333,0,0.6,0,0,0,0.021,0.111,0.167,0.143,N/A,0,1,0,0.125,0.333,0,0.4,N/A,0.05,0,0,0,N/A
P63104,YWHAZ,E:AP3B1;E:CWC27;M:REEP6;M:AAR2;N:MOV10;N:PABPC4;N:RPL36;N:PABPC1;N:G3BP1;N:G3BP2;N:UPF1;N:LARP1;nsp1:PKP2;nsp1:PRIM2;nsp12:MYCBP2;nsp13:PCNT;nsp13:PRKACA;nsp13:CEP250;nsp14:IMPDH2;nsp2:SLC27A2;nsp2:EIF4E2;nsp2:GIGYF2;nsp8:MRPS27;nsp8:MEPCE;nsp9:DCAF7;orf10:PPT1;orf10:CUL2;orf8:HS6ST2;orf8:DNMT1;orf8:ERP44;,30,0,0.333,0.067,0.533,0,0,0,0.064,0.222,0.333,0.429,N/A,0,0,0,0,0.083,0.062,0,N/A,0.05,0.075,0.333,0,N/A
P15927,RPA2,M:RTN4;N:CSNK2A2;N:PABPC1;N:MOV10;N:PABPC4;nsp1:PRIM1;nsp1:POLA1;nsp1:PRIM2;nsp10:ERGIC1;nsp10:AP2A2;nsp12:AKAP8;nsp13:PRKACA;nsp13:TLE1;nsp13:AKAP9;nsp13:FYCO1;nsp14:IMPDH2;nsp2:FKBP15;nsp2:WASHC4;nsp7:LMAN2;nsp7:RAB10;nsp7:RAB8A;nsp7:RAB5C;nsp7:RAB2A;nsp7:RAB1A;nsp7:RAB7A;nsp7:RAB14;nsp8:EXOSC8;orf10:PPT1;orf8:ITGB1;,29,0,0,0.033,0.267,0,0,0,0.021,0.111,0.5,0.286,N/A,0,0,0,0.25,0.042,0,0.4,N/A,0.05,0.1,0.333,0,N/A
P13569,CFTR,M:PSMD8;M:SAAL1;M:TARS2;N:UPF1;N:MOV10;N:PABPC4;N:RPL36;N:PABPC1;nsp10:GRPEL1;nsp13:RDX;nsp13:PRKACA;nsp14:IMPDH2;nsp4:NUP210;nsp5:HDAC2;nsp6:SIGMAR1;nsp6:ATP5MG;nsp7:ACSL3;nsp7:RAB5C;nsp7:RAB18;nsp7:LMAN2;nsp7:RAB14;nsp7:RAB7A;orf10:ZYG11B;orf10:ELOB;orf10:ELOC;orf7a:MDN1;orf8:ITGB1;orf8:PLD3;orf8:HYOU1;,29,0,0,0.1,0.333,0,0,0.5,0.064,0.333,0,0,N/A,0.125,1,0.5,0.188,0,0,0.2,N/A,0,0.05,0.333,0,N/A
P49736,MCM2,N:FAM98A;N:PABPC1;N:G3BP1;N:DDX21;N:PABPC4;nsp1:POLA1;nsp10:AP2A2;nsp12:ZNF318;nsp12:CRTC3;nsp12:SBNO1;nsp12:AKAP8;nsp13:TBKBP1;nsp13:TBK1;nsp14:IMPDH2;nsp2:FKBP15;nsp2:GIGYF2;nsp5:HDAC2;nsp7:MOGS;nsp7:AGPS;nsp7:ACSL3;nsp7:DCAKD;nsp8:SRP72;nsp9:NUP62;nsp9:MAT2B;orf10:ELOB;orf8:ERP44;orf8:GGH;orf8:HYOU1;,28,0,0,0,0.333,0,0,0,0.064,0.111,0.167,0.286,N/A,0,1,0,0.125,0.042,0.125,0.2,N/A,0.2,0.05,0.333,0,N/A
Q99496,RNF2,M:AKAP8L;N:MOV10;N:CSNK2A2;N:RPL36;N:PABPC4;N:G3BP1;N:G3BP2;N:RBM28;N:UPF1;N:LARP1;N:CSNK2B;nsp1:COLGALT1;nsp1:PKP2;nsp12:AKAP8;nsp13:AKAP9;nsp13:PDE4DIP;nsp13:RDX;nsp5:HDAC2;nsp7:COMT;nsp7:RAB10;nsp8:LARP7;nsp8:NGDN;nsp8:MPHOSPH10;nsp8:SRP72;nsp9:DCAF7;nsp9:NUP88;orf8:ADAM9;orf8:HYOU1;,28,0,0,0.033,0.667,0,0,0,0.043,0,0.333,0,N/A,0,1,0,0.062,0.167,0.125,0,N/A,0.05,0.075,0,0,N/A
P01106,MYC,E:ZC3H18;M:ETFA;M:AASS;M:TUBGCP2;M:AKAP8L;N:SNIP1;nsp12:AKAP8;nsp12:TCF12;nsp12:MYCBP2;nsp13:CENPF;nsp13:ERC1;nsp13:CDK5RAP2;nsp14:SIRT5;nsp5:HDAC2;nsp7:MOGS;nsp7:PTGES2;nsp9:NEK9;nsp9:MIB1;orf10:MAP7D1;orf10:PPT1;orf6:NUP98;orf7a:MDN1;orf7a:HEATR3;orf8:ERP44;orf8:PLOD2;orf8:MFGE8;orf8:LOX;,27,0,0.167,0.133,0.067,0,0.333,1,0.085,0.222,0,0,N/A,0,1,0,0.062,0,0.125,0,N/A,0.15,0.075,0.333,0,N/A
P27694,RPA1,M:RTN4;N:CSNK2B;N:PABPC1;N:MOV10;N:PABPC4;N:CSNK2A2;nsp1:POLA1;nsp1:PRIM2;nsp1:PRIM1;nsp10:GRPEL1;nsp10:AP2A2;nsp10:ERGIC1;nsp12:AKAP8;nsp13:FYCO1;nsp14:IMPDH2;nsp2:FKBP15;nsp2:WASHC4;nsp7:LMAN2;nsp7:RAB10;nsp7:RAB8A;nsp7:RAB5C;nsp7:RAB2A;nsp7:RAB1A;nsp7:RAB14;nsp7:RAB7A;nsp8:EXOSC8;orf8:ITGB1;,27,0,0,0.033,0.333,0,0,0,0.021,0,0.5,0.286,N/A,0,0,0,0.25,0.042,0,0.6,N/A,0.05,0.025,0.333,0,N/A
Q9H0W5,CCDC8,M:ATP1B1;M:ETFA;N:PABPC4;N:DDX21;N:PABPC1;N:G3BP1;nsp12:MYCBP2;nsp12:AKAP8;nsp12:ZNF318;nsp13:CEP250;nsp13:CEP350;nsp13:TBK1;nsp13:GOLGB1;nsp13:PCNT;nsp2:GIGYF2;nsp5:HDAC2;nsp7:AGPS;nsp7:GNB1;nsp7:ACSL3;nsp7:TOR1AIP1;nsp7:LMAN2;nsp7:RAB14;nsp7:RALA;nsp7:RAB1A;nsp7:RAB5C;orf7a:MDN1;orf8:ITGB1;,27,0,0,0.067,0.267,0,0,0.5,0.021,0,0,0.143,N/A,0,1,0,0.281,0,0,0,N/A,0.15,0.125,0,0,N/A
P11021,HSPA5,M:TUBGCP3;M:TUBGCP2;M:AAR2;N:CSNK2A2;N:MOV10;nsp12:CRTC3;nsp12:RIPK1;nsp13:MIPOL1;nsp13:CNTRL;nsp13:PRKACA;nsp13:CEP250;nsp13:TBK1;nsp2:RAP1GDS1;nsp8:LARP7;nsp8:MEPCE;nsp9:NUP62;nsp9:SPART;orf10:PPT1;orf10:CUL2;orf8:DNMT1;orf8:HYOU1;orf8:SDF2;orf8:OS9;orf8:ERLEC1;orf8:SIL1;orf8:EDEM3;orf8:INHBE;,27,0,0,0.1,0.133,0,0,0,0.17,0.222,0,0.143,N/A,0,0,0,0,0.083,0.125,0,N/A,0.1,0.125,0,0,N/A
Q86VP6,CAND1,M:AKAP8L;N:FAM98A;N:RPL36;N:UPF1;N:PABPC4;N:PABPC1;N:G3BP1;N:MOV10;N:RBM28;N:G3BP2;N:LARP1;nsp12:AKAP8;nsp7:SCARB1;nsp8:DDX10;nsp8:AATF;nsp8:MRPS2;nsp8:LARP7;nsp8:MRPS27;nsp8:EXOSC2;nsp8:SRP72;nsp8:MRPS5;nsp8:MRPS25;nsp8:MEPCE;nsp9:NUP88;orf10:PPT1;orf10:RBX1;orf10:CUL2;,27,0,0,0.033,0.667,0,0,0,0,0.333,0,0,N/A,0,0,0,0.031,0.417,0.062,0,N/A,0.05,0,0,0,N/A
P02751,FN1,M:STOM;M:BZW2;N:DDX21;N:PABPC4;N:G3BP1;N:PABPC1;N:UPF1;N:RPL36;N:CSNK2B;nsp10:AP2A2;nsp10:AP2M1;nsp12:UBAP2L;nsp14:IMPDH2;nsp15:ARF6;nsp4:NUP210;nsp7:RAB10;nsp7:COMT;nsp7:RAB5C;nsp7:RAB7A;nsp9:EIF4H;orf6:RAE1;orf7a:MDN1;orf8:PLAT;orf8:ITGB1;orf8:LOX;orf8:ERP44;,26,0,0,0.067,0.467,0,0.333,0.5,0.085,0,0,0,N/A,0.125,0,0,0.125,0,0.062,0.4,N/A,0.05,0,0.333,0.333,N/A
P06748,NPM1,E:ZC3H18;M:AAR2;N:MOV10;N:RPL36;N:FAM98A;N:G3BP1;N:LARP1;N:PABPC4;N:DDX21;N:CSNK2B;N:RBM28;nsp12:LARP4B;nsp13:CENPF;nsp13:GOLGA3;nsp13:GOLGA2;nsp13:PDE4DIP;nsp14:IMPDH2;nsp5:HDAC2;nsp8:MEPCE;nsp8:CCDC86;nsp8:SRP72;nsp8:LARP7;nsp9:NUP62;orf10:CUL2;orf6:NUP98;orf8:ITGB1;,26,0,0.167,0.033,0.6,0,0.333,0,0.021,0.111,0,0,N/A,0,1,0,0,0.167,0.062,0,N/A,0.05,0.1,0.333,0,N/A
P63165,SUMO1,M:STOM;M:PMPCB;M:PITRM1;M:PMPCA;M:SLC30A7;N:CSNK2A2;N:CSNK2B;N:SNIP1;N:DDX21;N:PABPC1;nsp12:BCKDK;nsp12:UBAP2;nsp12:RIPK1;nsp13:NIN;nsp4:IDE;nsp5:HDAC2;nsp7:MOGS;nsp8:MEPCE;nsp8:MPHOSPH10;nsp8:MRPS2;nsp9:NUP88;orf6:NUP98;orf8:SDF2;orf8:NPTX1;orf8:PLD3;orf8:ERP44;,26,0,0,0.167,0.333,0,0.333,0,0.085,0,0,0,N/A,0.125,1,0,0.031,0.125,0.062,0,N/A,0.15,0.025,0,0,N/A
P35244,RPA3,M:RTN4;N:PABPC4;N:PABPC1;N:CSNK2A2;N:MOV10;nsp1:PRIM1;nsp1:POLA1;nsp10:GRPEL1;nsp10:AP2A2;nsp10:ERGIC1;nsp12:AKAP8;nsp13:FYCO1;nsp14:IMPDH2;nsp2:FKBP15;nsp2:WASHC4;nsp7:LMAN2;nsp7:RAB10;nsp7:RAB14;nsp7:RAB8A;nsp7:RAB2A;nsp7:RAB1A;nsp7:RAB5C;nsp7:RAB7A;nsp8:EXOSC8;orf8:ITGB1;,25,0,0,0.033,0.267,0,0,0,0.021,0,0.333,0.286,N/A,0,0,0,0.25,0.042,0,0.6,N/A,0.05,0.025,0.333,0,N/A
O75147,OBSL1,E:BRD2;N:DDX21;N:RRP9;N:RBM28;N:PABPC1;N:CSNK2B;nsp12:UBAP2L;nsp13:TBKBP1;nsp13:CIT;nsp13:PCNT;nsp13:GOLGB1;nsp13:CENPF;nsp4:NUP210;nsp5:HDAC2;nsp7:ACSL3;nsp8:AATF;nsp8:DDX10;nsp8:CCDC86;nsp9:NUP214;nsp9:NUP62;nsp9:NUP58;nsp9:NUP54;orf6:RAE1;orf6:NUP98;orf7a:MDN1;,25,0,0.167,0,0.333,0,0.667,0.5,0,0,0,0,N/A,0.125,1,0,0.031,0.125,0.25,0,N/A,0.05,0.125,0,0,N/A
P67809,YBX1,E:ZC3H18;M:AAR2;N:CSNK2A2;N:UPF1;N:FAM98A;N:DDX21;N:MOV10;N:LARP1;N:PABPC4;N:G3BP2;N:PABPC1;N:G3BP1;nsp10:AP2A2;nsp12:LARP4B;nsp12:AKAP8;nsp13:PCNT;nsp2:GIGYF2;nsp7:MOGS;nsp8:SRP72;nsp8:LARP7;nsp8:SEPSECS;nsp8:MRPS27;nsp8:MRPS5;nsp8:MEPCE;orf10:CUL2;,25,0,0.167,0.033,0.667,0,0,0,0,0.111,0,0.143,N/A,0,0,0,0.031,0.25,0,0.2,N/A,0.1,0.025,0,0,N/A
Q15843,NEDD8,M:TARS2;M:PITRM1;M:PMPCB;M:SLC30A7;N:PABPC1;N:G3BP2;N:CSNK2A2;nsp1:PRIM2;nsp12:BCKDK;nsp13:USP13;nsp4:IDE;nsp5:HDAC2;nsp7:AGPS;nsp7:MOGS;nsp8:MEPCE;nsp8:MRPS2;nsp9:DCAF7;orf10:ELOC;orf10:ELOB;orf10:ZYG11B;orf10:CUL2;orf10:RBX1;orf8:ERP44;orf8:POFUT1;orf8:PLD3;,25,0,0,0.133,0.2,0,0,0,0.064,0.556,0.167,0,N/A,0.125,1,0,0.062,0.083,0.062,0,N/A,0.05,0.025,0,0,N/A
P04637,TP53,N:CSNK2B;N:G3BP1;N:G3BP2;N:MOV10;N:PABPC1;N:CSNK2A2;nsp1:POLA1;nsp1:COLGALT1;nsp2:EIF4E2;nsp2:GIGYF2;nsp5:HDAC2;nsp7:MOGS;nsp7:RAB7A;nsp8:MRPS2;nsp8:EXOSC8;nsp8:HECTD1;nsp8:MRPS27;nsp8:MRPS5;nsp8:MRPS25;nsp8:LARP7;nsp9:DCAF7;orf10:RBX1;orf3a:TRIM59;orf6:RAE1;orf8:DNMT1;,25,0,0,0,0.4,0.125,0.333,0,0.021,0.111,0.333,0.286,N/A,0,1,0,0.062,0.292,0.062,0,N/A,0,0,0,0,N/A
P11142,HSPA8,M:AKAP8L;M:TUBGCP3;M:TUBGCP2;M:AAR2;N:CSNK2A2;N:UPF1;N:PABPC4;N:LARP1;N:PABPC1;nsp10:AP2M1;nsp12:RIPK1;nsp12:TYSND1;nsp13:PRKACA;nsp13:CEP250;nsp13:TBK1;nsp7:CYB5R3;nsp8:SRP54;nsp8:LARP7;nsp8:MEPCE;orf10:PPT1;orf10:CUL2;orf10:RBX1;orf8:HYOU1;orf8:EDEM3;,24,0,0,0.133,0.333,0,0,0,0.043,0.333,0,0,N/A,0,0,0,0.031,0.125,0,0.2,N/A,0.1,0.075,0,0,N/A
Q92905,COPS5,E:BRD4;M:SLC30A9;N:UPF1;N:MOV10;N:G3BP2;N:FAM98A;N:PABPC1;N:G3BP1;N:LARP1;N:PABPC4;nsp10:GFER;nsp12:UBAP2L;nsp12:AKAP8;nsp12:LARP4B;nsp14:IMPDH2;nsp8:MRPS25;nsp8:MRPS27;orf10:CUL2;orf10:ZYG11B;orf10:ELOC;orf10:ELOB;orf10:RBX1;orf8:GGH;,23,0,0.167,0.033,0.533,0,0,0,0.021,0.556,0,0,N/A,0,0,0,0,0.083,0,0.2,N/A,0.15,0,0.333,0,N/A
P38646,HSPA9,M:ATP1B1;M:BZW2;M:TUBGCP2;M:AAR2;N:CSNK2A2;N:G3BP1;N:MOV10;N:DDX21;nsp10:AP2M1;nsp10:GRPEL1;nsp12:RIPK1;nsp13:GCC1;nsp13:PRKACA;nsp13:CEP250;nsp13:TBK1;nsp2:RAP1GDS1;nsp7:DNAJC19;nsp8:LARP7;nsp8:MEPCE;nsp9:SPART;orf10:CUL2;orf8:OS9;orf8:HYOU1;,23,0,0,0.133,0.267,0,0,0,0.043,0.111,0,0.143,N/A,0,0,0,0.031,0.083,0.062,0.4,N/A,0.05,0.1,0,0,N/A
Q00839,HNRNPU,E:ZC3H18;M:TUBGCP3;M:AAR2;N:CSNK2A2;N:RBM28;N:RPL36;N:DDX21;N:LARP1;N:PABPC4;N:G3BP1;nsp13:GOLGB1;nsp13:CEP250;nsp8:MEPCE;nsp8:SRP72;nsp8:AATF;nsp8:MRPS25;nsp8:MRPS2;nsp8:CCDC86;nsp8:MRPS27;nsp8:NSD2;nsp8:LARP7;orf10:PPT1;orf10:CUL2;,23,0,0.167,0.067,0.467,0,0,0,0,0.222,0,0,N/A,0,0,0,0,0.375,0,0,N/A,0,0.05,0,0,N/A
Q12873,CHD3,E:BRD2;E:ZC3H18;M:AKAP8L;N:LARP1;N:G3BP1;N:FAM98A;N:RPL36;N:DDX21;N:PABPC1;N:PABPC4;N:RBM28;N:MOV10;nsp12:AKAP8;nsp13:PCNT;nsp5:HDAC2;nsp7:RAB7A;nsp7:RAB10;nsp8:DDX10;nsp8:SRP72;nsp8:NGDN;nsp8:NOL10;nsp8:AATF;orf7a:MDN1;,23,0,0.333,0.033,0.6,0,0,0.5,0,0,0,0,N/A,0,1,0,0.062,0.208,0,0,N/A,0.05,0.025,0,0,N/A
Q4G0J3,LARP7,E:BRD4;E:AP3B1;E:CWC27;M:PSMD8;N:DDX21;N:MOV10;N:RRP9;N:RPL36;N:CSNK2A2;N:CSNK2B;N:RBM28;N:PABPC4;N:G3BP1;N:LARP1;N:PABPC1;nsp10:GRPEL1;nsp4:NUP210;nsp5:HDAC2;nsp6:ATP5MG;nsp8:MRPS25;nsp8:SRP54;nsp8:SRP19;nsp8:SRP72;,23,0,0.5,0.033,0.733,0,0,0,0,0,0,0,N/A,0.125,1,0.25,0,0.167,0,0.2,N/A,0,0,0,0,N/A
Q99459,CDC5L,E:BRD2;E:BRD4;M:TUBGCP3;M:TUBGCP2;M:AAR2;N:DDX21;N:UPF1;N:CSNK2A2;N:G3BP1;nsp12:AKAP8;nsp13:GOLGB1;nsp13:PCNT;nsp13:GOLGA2;nsp13:PDE4DIP;nsp13:AKAP9;nsp13:HOOK1;nsp5:HDAC2;nsp8:SRP72;nsp8:SRP54;nsp8:NSD2;nsp8:LARP7;orf7a:MDN1;,22,0,0.333,0.1,0.267,0,0,0.5,0,0,0,0,N/A,0,1,0,0,0.167,0,0,N/A,0.05,0.15,0,0,N/A
O15205,UBD,M:PSMD8;M:TARS2;M:INTS4;M:AAR2;M:FASTKD5;M:ACADM;N:UPF1;N:PABPC4;nsp10:AP2M1;nsp12:PPIL3;nsp13:TBKBP1;nsp13:TLE3;nsp2:POR;nsp2:GIGYF2;nsp7:ACSL3;nsp8:AATF;nsp8:EXOSC2;orf10:ZYG11B;orf6:RAE1;orf7a:HEATR3;orf8:FOXRED2;orf8:HYOU1;,22,0,0,0.2,0.133,0,0.333,0.5,0.043,0.111,0,0.286,N/A,0,0,0,0.031,0.083,0,0.2,N/A,0.05,0.05,0,0,N/A
Q6K0P9,PYHIN1,E:ZC3H18;N:G3BP2;N:LARP1;N:RPL36;N:CSNK2B;N:CSNK2A2;N:UPF1;N:MOV10;nsp12:AKAP8;nsp12:SLU7;nsp12:PRRC2B;nsp2:GIGYF2;nsp5:HDAC2;nsp8:MPHOSPH10;nsp8:LARP7;nsp8:AATF;nsp8:CCDC86;nsp8:MEPCE;nsp8:SRP72;orf10:RBX1;orf7a:MDN1;orf8:ADAMTS1;,22,0,0.167,0,0.467,0,0,0.5,0.021,0.111,0,0.143,N/A,0,1,0,0,0.25,0,0,N/A,0.15,0,0,0,N/A
P19320,VCAM1,M:STOM;N:RPL36;N:DDX21;N:UPF1;N:PABPC1;N:CSNK2B;N:G3BP1;N:PABPC4;N:LARP1;nsp10:AP2M1;nsp12:UBAP2L;nsp4:NUP210;nsp7:GNB1;nsp7:RAB5C;nsp7:RAB10;nsp9:NUP214;nsp9:EIF4H;orf10:PPT1;orf7a:MDN1;orf8:DNMT1;orf8:ITGB1;Spike:GOLGA7;,22,0.5,0,0.033,0.533,0,0,0.5,0.043,0.111,0,0,N/A,0.125,0,0,0.094,0,0.125,0.2,N/A,0.05,0,0,0,N/A
P09651,HNRNPA1,E:ZC3H18;M:TUBGCP3;M:AAR2;N:PABPC1;N:MOV10;N:PABPC4;N:DDX21;N:G3BP1;N:G3BP2;N:LARP1;N:UPF1;nsp12:AKAP8;nsp8:LARP7;nsp8:MRPS27;nsp8:SRP72;nsp8:MRPS2;nsp8:MRPS5;nsp8:NSD2;nsp8:MEPCE;orf10:PPT1;orf10:CUL2;orf8:PLOD2;,22,0,0.167,0.067,0.533,0,0,0,0.021,0.222,0,0,N/A,0,0,0,0,0.292,0,0,N/A,0.05,0,0,0,N/A
P40337,VHL,nsp1:COLGALT1;nsp10:GRPEL1;nsp13:TLE1;nsp13:CEP68;nsp14:IMPDH2;nsp15:ARF6;nsp5:HDAC2;nsp7:RAB5C;nsp7:RAB2A;nsp7:RAB7A;nsp7:RAB14;nsp8:ATE1;orf10:ELOC;orf10:ELOB;orf10:CUL2;orf10:RBX1;orf8:ITGB1;orf8:PLOD2;orf8:COL6A1;orf8:HYOU1;orf8:INHBE;,21,0,0,0,0,0,0,0,0.106,0.444,0.167,0,N/A,0,1,0,0.125,0.042,0,0.2,N/A,0,0.05,0.333,0.333,N/A
P24941,CDK2,M:PSMD8;N:RPL36;N:G3BP2;N:DDX21;N:UPF1;N:CSNK2B;N:CSNK2A2;N:PABPC1;nsp1:POLA1;nsp13:GORASP1;nsp13:GOLGA2;nsp14:IMPDH2;nsp2:RAP1GDS1;nsp6:ATP5MG;nsp7:CYB5R3;nsp7:RAB5C;nsp8:LARP7;nsp9:DCAF7;orf3a:VPS39;orf8:HYOU1;orf8:DNMT1;,21,0,0,0.033,0.467,0.125,0,0,0.043,0,0.167,0.143,N/A,0,0,0.25,0.062,0.042,0.062,0,N/A,0,0.05,0.333,0,N/A
Q6IQ23,PLEKHA7,M:ATP6V1A;N:PABPC1;N:G3BP1;N:LARP1;N:G3BP2;N:DDX21;N:MOV10;nsp10:AP2A2;nsp10:AP2M1;nsp13:PRKACA;nsp13:RDX;nsp2:EIF4E2;nsp2:GIGYF2;nsp6:ATP6AP1;nsp7:GNB1;nsp8:EXOSC8;nsp9:DCAF7;orf6:RAE1;orf8:ERP44;orf8:GGH;orf8:MFGE8;,21,0,0,0.033,0.4,0,0.333,0,0.064,0,0,0.286,N/A,0,0,0.25,0.031,0.042,0.062,0.4,N/A,0,0.05,0,0,N/A
Q13573,SNW1,E:AP3B1;E:ZC3H18;M:TUBGCP3;M:TUBGCP2;M:BZW2;M:SAAL1;N:G3BP2;N:UPF1;N:PABPC1;N:DDX21;N:RPL36;N:SNIP1;nsp13:GOLGA2;nsp5:HDAC2;nsp8:SRP19;nsp8:SRP54;nsp8:SRP72;nsp8:LARP7;orf10:CUL2;orf6:RAE1;orf7a:MDN1;,21,0,0.333,0.133,0.4,0,0.333,0.5,0,0.111,0,0,N/A,0,1,0,0,0.167,0,0,N/A,0,0.025,0,0,N/A
O95793,STAU1,N:CSNK2B;N:PABPC4;N:DDX21;N:MOV10;N:RBM28;N:UPF1;N:G3BP1;N:PABPC1;nsp10:AP2M1;nsp13:GOLGA3;nsp13:GOLGA2;nsp15:ARF6;nsp7:MOGS;nsp7:ACSL3;nsp7:RAB10;nsp7:RAB5C;nsp7:RAB8A;nsp8:SRP72;nsp8:LARP7;nsp8:MEPCE;,20,0,0,0,0.533,0,0,0,0,0,0,0,N/A,0,0,0,0.156,0.125,0,0.2,N/A,0,0.05,0,0.333,N/A
Q16659,MAPK6,M:PSMD8;M:RTN4;M:AKAP8L;M:FASTKD5;nsp12:MYCBP2;nsp12:BCKDK;nsp13:PRKAR2A;nsp13:HOOK1;nsp13:GORASP1;nsp13:CNTRL;nsp13:CNTRL;nsp6:ATP6AP1;nsp7:TOR1AIP1;nsp7:ACSL3;nsp7:FAM162A;nsp7:RAB2A;nsp9:SPART;orf10:PPT1;orf10:MAP7D1;orf8:FOXRED2;,20,0,0,0.133,0,0,0,0,0.021,0.222,0,0,N/A,0,0,0.25,0.125,0,0.062,0,N/A,0.1,0.125,0,0,N/A
P27635,RPL10,E:ZC3H18;M:TUBGCP3;M:AAR2;N:RPL36;N:PABPC1;N:G3BP2;N:DDX21;N:RBM28;N:G3BP1;N:LARP1;nsp12:LARP4B;nsp13:PRKACA;nsp13:CEP250;nsp5:HDAC2;nsp8:MEPCE;nsp8:AATF;nsp8:SRP72;nsp8:MRPS27;nsp8:LARP7;orf8:FOXRED2;,20,0,0.167,0.067,0.467,0,0,0,0.021,0,0,0,N/A,0,1,0,0,0.208,0,0,N/A,0.05,0.05,0,0,N/A
Q14839,CHD4,E:ZC3H18;E:BRD2;E:BRD4;M:AKAP8L;N:LARP1;N:PABPC4;N:G3BP1;N:DDX21;N:PABPC1;N:RBM28;nsp12:SLU7;nsp12:AKAP8;nsp13:PCNT;nsp5:HDAC2;nsp7:RAB7A;nsp8:NOL10;nsp8:LARP7;nsp8:DDX10;orf7a:MDN1;orf8:DNMT1;,20,0,0.5,0.033,0.4,0,0,0.5,0.021,0,0,0,N/A,0,1,0,0.031,0.125,0,0,N/A,0.1,0.025,0,0,N/A
